no,num1,num2,num3,num4,num5,num6,binus,winning_1,winning_2,winning_3,winning_4,winning_5
58,10,24,25,33,40,44,1,"3,676,429,200.00","62,844,900.00","1,859,600.00","84,200.00","10,000.00"
59,6,29,36,39,41,45,13,"4,127,587,300.00","119,640,200.00","4,226,900.00","157,100.00","10,000.00"
60,2,8,25,36,39,42,11,"2,172,504,600.00","93,873,600.00","2,329,500.00","110,800.00","10,000.00"
61,14,15,19,30,38,43,8,"3,541,038,800.00","268,260,500.00","3,740,000.00","143,100.00","10,000.00"
62,3,8,15,27,29,35,21,"15,817,286,400.00","119,827,900.00","3,179,900.00","126,400.00","10,000.00"
63,3,20,23,36,38,40,5,"7,922,245,500.00","101,567,200.00","3,204,700.00","127,200.00","10,000.00"
64,14,15,18,21,26,36,39,"3,899,818,000.00","236,352,600.00","3,993,600.00","140,000.00","10,000.00"
65,4,25,33,36,40,43,39,"3,727,945,800.00","92,048,000.00","2,477,800.00","94,500.00","10,000.00"
66,2,3,7,17,22,24,45,"3,685,138,200.00","129,303,000.00","3,125,600.00","122,200.00","10,000.00"
67,3,7,10,15,36,38,33,"2,114,436,500.00","39,787,700.00","2,537,900.00","105,500.00","10,000.00"
68,10,12,15,16,26,39,38,"2,945,882,100.00","122,745,000.00","3,255,800.00","113,400.00","10,000.00"
69,5,8,14,15,19,39,35,"4,962,712,200.00","124,067,800.00","3,239,300.00","120,300.00","10,000.00"
70,5,19,22,25,28,43,26,"5,031,277,800.00","179,688,400.00","3,508,500.00","136,700.00","10,000.00"
71,5,9,12,16,29,41,21,0.00,"88,745,200.00","3,177,500.00","125,700.00","10,000.00"
72,2,4,11,17,26,27,1,"3,260,524,600.00","104,081,800.00","1,824,500.00","80,300.00","10,000.00"
73,3,12,18,32,40,43,38,"2,766,662,100.00","106,410,000.00","2,029,800.00","99,500.00","10,000.00"
74,6,15,17,18,35,40,23,"5,284,949,800.00","66,061,800.00","2,588,100.00","109,100.00","10,000.00"
75,2,5,24,32,34,44,28,"3,914,616,900.00","137,354,900.00","3,194,300.00","127,900.00","10,000.00"
76,1,3,15,22,25,37,43,"7,451,022,600.00","146,098,400.00","2,956,700.00","111,600.00","10,000.00"
77,2,18,29,32,43,44,37,"5,155,758,600.00","135,677,800.00","3,615,500.00","139,200.00","10,000.00"
78,10,13,25,29,33,35,38,"3,519,850,000.00","106,662,100.00","2,578,600.00","110,500.00","10,000.00"
79,3,12,24,27,30,32,14,"3,416,443,800.00","73,471,910.00","1,904,373.00","92,154.00","10,000.00"
80,17,18,24,25,26,30,1,"13,809,540,000.00","143,849,375.00","2,651,602.00","114,362.00","10,000.00"
81,5,7,11,13,20,33,6,"2,714,288,880.00","113,095,370.00","2,162,436.00","87,580.00","10,000.00"
82,1,2,3,14,27,42,39,"14,562,494,400.00","121,354,120.00","3,810,177.00","134,320.00","10,000.00"
83,6,10,15,17,19,34,14,"7,086,948,300.00","157,487,740.00","2,775,930.00","102,880.00","10,000.00"
84,16,23,27,34,42,45,11,"7,669,779,000.00","150,387,824.00","4,026,131.00","157,805.00","10,000.00"
85,6,8,13,23,31,36,21,"3,462,109,800.00","74,453,975.00","2,804,464.00","110,577.00","10,000.00"
86,2,12,37,39,41,45,33,"14,252,186,400.00","148,460,275.00","3,887,667.00","135,515.00","10,000.00"
87,4,12,16,23,34,43,26,"1,799,358,055.00","99,964,337.00","2,639,059.00","120,466.00","10,000.00"
88,1,17,20,24,30,41,27,"3,069,709,650.00","66,015,262.00","1,729,902.00","63,321.00","5,000.00"
89,4,26,28,29,33,40,37,"4,248,321,900.00","70,805,365.00","1,585,195.00","58,463.00","5,000.00"
90,17,20,29,35,38,44,10,"3,291,435,300.00","64,537,948.00","1,691,820.00","64,645.00","5,000.00"
91,1,21,24,26,29,42,27,"3,582,902,400.00","74,643,800.00","1,982,242.00","74,431.00","5,000.00"
92,3,14,24,33,35,36,17,"1,233,270,846.00","45,219,931.00","1,393,098.00","57,011.00","5,000.00"
93,6,22,24,36,38,44,19,"2,269,178,150.00","87,276,083.00","1,552,106.00","66,160.00","5,000.00"
94,5,32,34,40,41,45,6,"2,245,339,950.00","59,087,894.00","1,659,527.00","63,155.00","5,000.00"
95,8,17,27,31,34,43,14,"1,747,741,238.00","48,548,368.00","1,348,566.00","56,540.00","5,000.00"
96,1,3,8,21,22,31,20,"1,847,133,515.00","56,710,240.00","1,800,326.00","66,002.00","5,000.00"
97,6,7,14,15,20,36,3,"1,496,214,000.00","48,789,587.00","1,454,518.00","58,123.00","5,000.00"
98,6,9,16,23,24,32,43,"3,177,972,300.00","47,081,072.00","1,126,941.00","48,251.00","5,000.00"
99,1,3,10,27,29,37,11,"2,169,219,050.00","54,230,477.00","1,372,056.00","56,196.00","5,000.00"
100,1,7,11,23,37,42,6,"3,315,315,525.00","61,394,732.00","1,431,484.00","57,484.00","5,000.00"
101,1,3,17,32,35,45,8,"2,707,297,500.00","59,370,560.00","1,605,752.00","61,634.00","5,000.00"
102,17,22,24,26,35,40,42,"1,457,153,067.00","91,072,067.00","1,616,664.00","57,919.00","5,000.00"
103,5,14,15,27,30,45,10,"1,691,589,563.00","59,354,020.00","1,424,797.00","59,679.00","5,000.00"
104,17,32,33,34,42,44,35,"6,610,743,750.00","95,807,881.00","1,704,240.00","61,361.00","5,000.00"
105,8,10,20,34,41,45,28,"3,416,781,450.00","87,609,781.00","1,711,386.00","65,904.00","5,000.00"
106,4,10,12,22,24,33,29,"810,461,157.00","54,030,744.00","1,051,182.00","46,205.00","5,000.00"
107,1,4,5,6,9,31,17,"6,679,927,800.00","63,618,360.00","1,020,928.00","48,590.00","5,000.00"
108,7,18,22,23,29,44,12,"1,998,900,772.00","56,879,291.00","1,595,111.00","65,853.00","5,000.00"
109,1,5,34,36,42,44,33,"1,246,838,200.00","80,441,175.00","1,670,246.00","68,153.00","5,000.00"
110,7,20,22,23,29,43,1,"4,566,262,000.00","60,082,395.00","1,640,181.00","61,980.00","5,000.00"
111,7,18,31,33,36,40,27,"2,199,047,450.00","43,118,578.00","1,268,194.00","50,633.00","5,000.00"
112,26,29,30,33,41,42,43,"1,567,271,167.00","73,465,836.00","1,715,991.00","66,933.00","5,000.00"
113,4,9,28,33,36,45,26,"1,561,528,934.00","54,471,940.00","1,583,701.00","64,428.00","5,000.00"
114,11,14,19,26,28,41,2,"2,362,345,050.00","57,618,172.00","1,584,404.00","60,185.00","5,000.00"
115,1,2,6,9,25,28,31,"1,488,589,567.00","65,673,070.00","1,122,053.00","48,739.00","5,000.00"
116,2,4,25,31,34,37,17,"1,997,747,315.00","41,619,736.00","1,343,346.00","50,725.00","5,000.00"
117,5,10,22,34,36,44,35,"1,558,378,334.00","46,751,350.00","1,423,610.00","59,662.00","5,000.00"
118,3,4,10,17,19,22,38,"1,297,989,720.00","52,763,810.00","1,294,624.00","51,983.00","5,000.00"
119,3,11,13,14,17,21,38,"1,474,899,400.00","45,149,982.00","1,142,743.00","51,856.00","5,000.00"
120,4,6,10,11,32,37,30,"4,364,530,300.00","70,395,650.00","1,359,667.00","54,286.00","5,000.00"
121,12,28,30,34,38,43,9,"6,839,648,100.00","73,544,604.00","1,698,870.00","67,589.00","5,000.00"
122,1,11,16,17,36,40,8,"1,450,073,800.00","57,239,756.00","1,550,329.00","59,989.00","5,000.00"
123,7,17,18,28,30,45,27,"2,532,982,680.00","55,547,866.00","1,429,126.00","58,036.00","5,000.00"
124,4,16,23,25,29,42,1,"1,395,936,267.00","56,592,011.00","1,359,679.00","55,808.00","5,000.00"
125,2,8,32,33,35,36,18,"1,754,870,786.00","56,870,813.00","1,417,832.00","55,140.00","5,000.00"
126,7,20,22,27,40,43,1,"1,369,301,500.00","58,684,350.00","1,427,347.00","57,558.00","5,000.00"
127,3,5,10,29,32,43,35,"1,965,939,150.00","45,719,516.00","1,537,091.00","58,532.00","5,000.00"
128,12,30,34,36,37,45,39,"2,064,043,100.00","89,741,005.00","1,731,580.00","65,221.00","5,000.00"
129,19,23,25,28,38,42,17,"1,093,629,655.00","40,099,754.00","1,361,160.00","56,381.00","5,000.00"
130,7,19,24,27,42,45,31,"3,036,496,650.00","67,477,704.00","1,590,206.00","63,672.00","5,000.00"
131,8,10,11,14,15,21,37,"1,451,214,488.00","58,634,929.00","1,176,264.00","52,372.00","5,000.00"
132,3,17,23,34,41,45,43,"2,920,473,525.00","57,264,187.00","1,408,816.00","59,653.00","5,000.00"
133,4,7,15,18,23,26,13,"1,450,242,600.00","37,914,840.00","1,319,002.00","50,709.00","5,000.00"
134,3,12,20,23,31,35,43,"2,349,155,100.00","39,152,585.00","1,366,106.00","56,175.00","5,000.00"
135,6,14,22,28,35,39,16,"1,717,293,515.00","71,553,897.00","1,406,959.00","60,529.00","5,000.00"
136,2,16,30,36,41,42,11,"1,997,694,150.00","76,834,391.00","1,561,919.00","59,639.00","5,000.00"
137,7,9,20,25,36,39,15,"1,270,403,467.00","47,640,130.00","1,207,608.00","52,255.00","5,000.00"
138,10,11,27,28,37,39,19,"2,227,152,000.00","57,998,750.00","1,483,582.00","60,623.00","5,000.00"
139,9,11,15,20,28,43,13,"1,650,210,215.00","68,758,759.00","1,706,778.00","67,233.00","5,000.00"
140,3,13,17,18,19,28,8,"2,109,462,840.00","51,702,521.00","1,341,898.00","54,617.00","5,000.00"
141,8,12,29,31,42,43,2,"1,900,552,400.00","65,536,290.00","1,661,323.00","65,308.00","5,000.00"
142,12,16,30,34,40,44,19,"1,018,265,564.00","66,672,150.00","1,407,859.00","57,795.00","5,000.00"
143,26,27,28,42,43,45,8,"3,954,584,700.00","56,494,068.00","1,672,837.00","69,221.00","5,000.00"
144,4,15,17,26,36,37,43,"1,402,440,413.00","49,208,436.00","1,248,279.00","50,416.00","5,000.00"
145,2,3,13,20,27,44,9,"3,797,838,200.00","49,971,556.00","1,560,328.00","60,169.00","5,000.00"
146,2,19,27,35,41,42,25,"6,043,415,250.00","59,249,170.00","1,456,596.00","64,439.00","5,000.00"
147,4,6,13,21,40,42,36,"1,700,040,215.00","56,668,008.00","1,632,412.00","63,558.00","5,000.00"
148,21,25,33,34,35,36,17,"2,323,596,420.00","55,323,725.00","1,634,035.00","61,124.00","5,000.00"
149,2,11,21,34,41,42,27,"1,639,052,143.00","44,470,407.00","1,632,987.00","63,267.00","5,000.00"
150,2,18,25,28,37,39,16,"2,831,645,850.00","41,038,346.00","1,475,969.00","57,907.00","5,000.00"
151,1,2,10,13,18,19,15,"2,716,634,025.00","40,246,430.00","1,214,681.00","53,073.00","5,000.00"
152,1,5,13,26,29,34,43,"2,278,131,840.00","63,281,440.00","1,603,415.00","62,986.00","5,000.00"
153,3,8,11,12,13,36,33,"2,730,526,125.00","35,006,746.00","1,258,888.00","50,875.00","5,000.00"
